         2633835 function calls (2585403 primitive calls) in 63.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.106    0.006 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2605(_update_label_position)
        2    0.000    0.000    0.106    0.053 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\PngImagePlugin.py:1300(_save)
        2    0.000    0.000    0.105    0.052 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageFile.py:535(_save)
        2    0.000    0.000    0.105    0.052 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageFile.py:563(_encode_tile)
       17    0.104    0.006    0.104    0.006 {method 'encode' of 'ImagingEncoder' objects}
       88    0.025    0.000    0.103    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:175(_draw_text_glyphs_and_boxes)
        6    0.000    0.000    0.100    0.017 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:108(import_module)
        6    0.000    0.000    0.100    0.017 <frozen importlib._bootstrap>:1192(_gcd_import)
266057/264803    0.056    0.000    0.098    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.098    0.049 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:550(_warn_if_gui_out_of_main_thread)
        6    0.000    0.000    0.098    0.016 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:380(_get_backend_mod)
  255/115    0.001    0.000    0.098    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:493(<listcomp>)
      6/1    0.000    0.000    0.098    0.098 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:394(switch_backend)
    67/42    0.000    0.000    0.098    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    32/14    0.000    0.000    0.098    0.007 {built-in method builtins.exec}
    18/10    0.000    0.000    0.097    0.010 {built-in method builtins.__import__}
        5    0.000    0.000    0.097    0.019 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\registry.py:302(load_backend_module)
       78    0.002    0.000    0.096    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
    70/45    0.001    0.000    0.095    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:449(_get_bbox_and_child_offsets)
        6    0.000    0.000    0.094    0.016 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:1473(clear)
        6    0.001    0.000    0.094    0.016 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:1341(__clear)
   255/75    0.001    0.000    0.093    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:358(get_bbox)
    70/45    0.000    0.000    0.090    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:460(<listcomp>)
     4249    0.025    0.000    0.080    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
       55    0.001    0.000    0.079    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:395(__init__)
     2503    0.011    0.000    0.076    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
       40    0.000    0.000    0.076    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:821(draw)
      956    0.009    0.000    0.075    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\font_manager.py:1462(findfont)
      220    0.004    0.000    0.072    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:796(get_bbox)
        1    0.072    0.072    0.072    0.072 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:922(<listcomp>)
       53    0.001    0.000    0.071    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:456(__init__)
      186    0.000    0.000    0.071    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1671(get_majorticklocs)
      175    0.001    0.000    0.071    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\ticker.py:2297(__call__)
      944    0.005    0.000    0.070    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\font_manager.py:1538(_find_fonts_by_props)
    10526    0.018    0.000    0.063    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
      852    0.001    0.000    0.063    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\markers.py:220(__init__)
      364    0.010    0.000    0.062    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:301(__init__)
       15    0.000    0.000    0.062    0.004 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:363(get_window_extent)
        1    0.000    0.000    0.062    0.062 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
      175    0.001    0.000    0.062    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\ticker.py:2301(tick_values)
     2426    0.012    0.000    0.061    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
        1    0.000    0.000    0.060    0.060 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
      852    0.003    0.000    0.058    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\markers.py:298(_set_marker)
      300    0.001    0.000    0.056    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:607(_init_dict)
      175    0.008    0.000    0.056    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\ticker.py:2228(_raw_ticks)
        2    0.000    0.000    0.055    0.027 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\groupby\ops.py:622(_get_splitter)
      342    0.053    0.000    0.053    0.000 {method 'call' of '_tkinter.tkapp' objects}
80668/80616    0.018    0.000    0.053    0.000 {built-in method builtins.getattr}
       35    0.000    0.000    0.053    0.002 <frozen importlib._bootstrap>:566(module_from_spec)
        5    0.000    0.000    0.051    0.010 <frozen importlib._bootstrap_external>:1231(create_module)
