Pd,Pfa,total_scans,total_switches,rf_utilization,ir_utilization,mean_aoi,max_aoi,latency_mean,latency_p95,scenario,scheduler,seed
0.0,0.96,475,0,1.0,0.0,0.0,0.0,4.939117650242186e-05,0.00010542500240262598,A_STATIC,UCBTuned,51
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.7442514611261258e-05,1.7400001524947584e-05,A_STATIC,BayesianUCB,42
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.297445107807225e-05,2.1100000594742596e-05,A_STATIC,BayesianUCB,43
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.396486999703099e-05,2.3999993572942913e-05,A_STATIC,BayesianUCB,44
0.0,1.0,500,0,1.0,0.0,0.0,0.0,2.1666666493284518e-05,4.119999357499182e-05,A_STATIC,BayesianUCB,45
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.5057684382434913e-05,2.3300002794712782e-05,A_STATIC,BayesianUCB,46
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.2115568431241144e-05,2.3100001271814108e-05,A_STATIC,BayesianUCB,47
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.0329740402658661e-05,1.68999977177009e-05,A_STATIC,BayesianUCB,48
0.0,1.0,500,0,1.0,0.0,0.0,0.0,8.182834220182024e-06,1.3500000932253897e-05,A_STATIC,BayesianUCB,49
0.0,1.0,500,0,1.0,0.0,0.0,0.0,1.0650100293587855e-05,2.2099993657320738e-05,A_STATIC,BayesianUCB,50
0.0,1.0,500,0,1.0,0.0,0.0,0.0,2.1963672273970782e-05,2.2299995180219412e-05,A_STATIC,BayesianUCB,51
0.0,0.8758949880668258,419,68,0.8687350835322196,0.13126491646778043,0.0,0.0,7.370142875948833e-05,8.770499771344466e-05,A_STATIC,ThompsonSampling,42
0.0,0.8937644341801386,433,60,0.8822170900692841,0.11778290993071594,0.0,0.0,8.421751167190643e-05,0.00016096499821287573,A_STATIC,ThompsonSampling,43
0.0,0.8457831325301205,415,66,0.8409638554216867,0.15903614457831325,0.0,0.0,8.164158673305513e-05,0.00019520000205375254,A_STATIC,ThompsonSampling,44
0.0,0.8663484486873508,419,62,0.8568019093078759,0.1431980906921241,0.0,0.0,6.216880941619387e-05,0.00011987499237875401,A_STATIC,ThompsonSampling,45
0.0,0.9071925754060325,431,64,0.8909512761020881,0.10904872389791183,0.0,0.0,5.806574046329371e-05,8.470999964629295e-05,A_STATIC,ThompsonSampling,46
0.0,0.8383084577114428,402,76,0.8308457711442786,0.1691542288557214,0.0,0.0,5.414863504127371e-05,6.860001158202065e-05,A_STATIC,ThompsonSampling,47
0.0,0.8444444444444444,405,76,0.8395061728395061,0.16049382716049382,0.0,0.0,4.5464532188910606e-05,7.257499237312004e-05,A_STATIC,ThompsonSampling,48
0.0,0.8547619047619047,420,60,0.85,0.15,0.0,0.0,4.5598099174668165e-05,6.679999933112413e-05,A_STATIC,ThompsonSampling,49
0.0,0.85,420,58,0.85,0.15,0.0,0.0,4.7600000172868953e-05,9.780000254977494e-05,A_STATIC,ThompsonSampling,50
0.0,0.8899297423887588,427,62,0.882903981264637,0.117096018735363,0.0,0.0,8.538457918335535e-05,0.00014788500047870908,A_STATIC,ThompsonSampling,51
0.0,0.0946969696969697,264,0,1.0,0.0,0.0,0.0,1.3523396897516301e-05,1.1180012370459725e-05,B_PERIODIC,Random,42
0.0,0.10727969348659004,261,0,1.0,0.0,0.0,0.0,1.1228244126959213e-05,1.8315008492208998e-05,B_PERIODIC,Random,43
0.0,0.0946969696969697,264,0,1.0,0.0,0.0,0.0,9.626792227620927e-06,2.785999677143988e-05,B_PERIODIC,Random,44
0.0,0.08365019011406843,263,0,1.0,0.0,0.0,0.0,7.718939190398846e-06,1.468500995542854e-05,B_PERIODIC,Random,45
0.0,0.08712121212121213,264,0,1.0,0.0,0.0,0.0,2.323056561301269e-05,1.715999969746917e-05,B_PERIODIC,Random,46
0.0,0.10566037735849057,265,0,1.0,0.0,0.0,0.0,7.4274438723074485e-06,1.2674994650296867e-05,B_PERIODIC,Random,47
0.0,0.0946969696969697,264,0,1.0,0.0,0.0,0.0,6.758867607030245e-06,1.3359999866224821e-05,B_PERIODIC,Random,48
0.0,0.08365019011406843,263,0,1.0,0.0,0.0,0.0,6.339015244245247e-06,1.402500274707563e-05,B_PERIODIC,Random,49
0.0,0.07604562737642585,263,0,1.0,0.0,0.0,0.0,1.7746211927839216e-05,1.8725011614151296e-05,B_PERIODIC,Random,50
0.0,0.0946969696969697,264,0,1.0,0.0,0.0,0.0,1.977660362652661e-05,1.8120004096999757e-05,B_PERIODIC,Random,51
0.0,0.096,250,0,1.0,0.0,0.0,0.0,3.6601597522997644e-06,5.150002834852785e-06,B_PERIODIC,RoundRobin,42
0.0,0.104,250,0,1.0,0.0,0.0,0.0,2.087251293895937e-06,4.150002496317029e-06,B_PERIODIC,RoundRobin,43
0.0,0.076,250,0,1.0,0.0,0.0,0.0,1.4087653475854382e-06,2.7999994927085936e-06,B_PERIODIC,RoundRobin,44
0.0,0.068,250,0,1.0,0.0,0.0,0.0,1.7697213146189947e-06,3.850007487926632e-06,B_PERIODIC,RoundRobin,45
0.0,0.108,250,0,1.0,0.0,0.0,0.0,2.106374423706021e-06,2.7500063879415393e-06,B_PERIODIC,RoundRobin,46
0.0,0.088,250,0,1.0,0.0,0.0,0.0,1.7067728020562476e-06,4.150002496317029e-06,B_PERIODIC,RoundRobin,47
0.0,0.1,250,0,1.0,0.0,0.0,0.0,1.5864535086450587e-06,2.5500048650428653e-06,B_PERIODIC,RoundRobin,48
0.0,0.08,250,0,1.0,0.0,0.0,0.0,1.3868519025242543e-06,2.8999929782003164e-06,B_PERIODIC,RoundRobin,49
0.0,0.084,250,0,1.0,0.0,0.0,0.0,1.7131477004414297e-06,3.3000032999552786e-06,B_PERIODIC,RoundRobin,50
0.0,0.1,250,0,1.0,0.0,0.0,0.0,1.1067722336875194e-06,1.8499995348975062e-06,B_PERIODIC,RoundRobin,51
0.0,0.12,275,0,1.0,0.0,0.0,0.0,9.742754047982853e-06,2.1324998670024797e-05,B_PERIODIC,Greedy,42
0.0,0.10948905109489052,274,0,1.0,0.0,0.0,0.0,2.6818181451579388e-05,6.925999914528803e-05,B_PERIODIC,Greedy,43
0.0,0.428,500,0,1.0,0.0,0.0,0.0,1.3213772224466838e-05,3.060000017285347e-05,B_PERIODIC,Greedy,44
0.0,0.05747126436781609,261,0,1.0,0.0,0.0,0.0,5.8489312677295834e-05,8.371001167688516e-05,B_PERIODIC,Greedy,45
0.0,0.3325,400,0,1.0,0.0,0.0,0.0,1.6892020111007064e-05,2.720000338740647e-05,B_PERIODIC,Greedy,46
0.0,0.42771084337349397,498,0,1.0,0.0,0.0,0.0,1.7615430819230876e-05,2.8250009927432966e-05,B_PERIODIC,Greedy,47
0.0,0.41683778234086244,487,0,1.0,0.0,0.0,0.0,1.1363114294983432e-05,2.282500427099875e-05,B_PERIODIC,Greedy,48
0.0,0.10112359550561797,267,0,1.0,0.0,0.0,0.0,1.5228731647210279e-05,2.757501133601178e-05,B_PERIODIC,Greedy,49
0.0,0.4164989939637827,497,0,1.0,0.0,0.0,0.0,4.109036143266981e-05,7.55200053390581e-05,B_PERIODIC,Greedy,50
0.0,0.43004115226337447,486,0,1.0,0.0,0.0,0.0,5.577433315532194e-05,4.7049998829606904e-05,B_PERIODIC,Greedy,51
0.0,0.11952191235059761,251,0,1.0,0.0,0.0,0.0,1.5686111077056487e-05,2.9024996183579758e-05,B_PERIODIC,EarliestAoI,42
0.0,0.104,250,0,1.0,0.0,0.0,0.0,1.1445019872807174e-05,2.0350002159830183e-05,B_PERIODIC,EarliestAoI,43
0.0,0.10756972111553785,251,0,1.0,0.0,0.0,0.0,1.1652778041371631e-05,1.9145000260323285e-05,B_PERIODIC,EarliestAoI,44
0.0,0.076,250,0,1.0,0.0,0.0,0.0,1.7654980299530543e-05,1.4750003174412996e-05,B_PERIODIC,EarliestAoI,45
0.0,0.096,250,0,1.0,0.0,0.0,0.0,1.0239441989943297e-05,1.909999264171347e-05,B_PERIODIC,EarliestAoI,46
0.0,0.104,250,0,1.0,0.0,0.0,0.0,1.2411154744927716e-05,1.8399994587525725e-05,B_PERIODIC,EarliestAoI,47
0.0,0.1,250,0,1.0,0.0,0.0,0.0,8.811553976353837e-06,1.4199998986441642e-05,B_PERIODIC,EarliestAoI,48
0.0,0.092,250,0,1.0,0.0,0.0,0.0,3.145737060998748e-05,2.1899999410379678e-05,B_PERIODIC,EarliestAoI,49
0.0,0.116,250,0,1.0,0.0,0.0,0.0,1.4429083497512092e-05,2.6350004191044718e-05,B_PERIODIC,EarliestAoI,50
0.0,0.1,250,0,1.0,0.0,0.0,0.0,1.0636652981216808e-05,1.5499994333367795e-05,B_PERIODIC,EarliestAoI,51
0.0,0.3813813813813814,333,0,1.0,0.0,0.0,0.0,2.163323361327604e-05,4.1634996887296434e-05,B_PERIODIC,UCB1,42
0.0,0.328125,320,0,1.0,0.0,0.0,0.0,2.276604370260466e-05,3.640000068116933e-05,B_PERIODIC,UCB1,43
0.0,0.4314868804664723,343,0,1.0,0.0,0.0,0.0,2.1749709218098825e-05,3.895500558428465e-05,B_PERIODIC,UCB1,44
0.0,0.373134328358209,335,0,1.0,0.0,0.0,0.0,2.1900892750723177e-05,3.400000787223689e-05,B_PERIODIC,UCB1,45
0.0,0.46176470588235297,340,0,1.0,0.0,0.0,0.0,3.5329618724404434e-05,5.529999907594174e-05,B_PERIODIC,UCB1,46
0.0,0.3825301204819277,332,0,1.0,0.0,0.0,0.0,0.00011132642635152683,0.0003075799992075188,B_PERIODIC,UCB1,47
0.0,0.3898809523809524,336,0,1.0,0.0,0.0,0.0,0.00017471780422909146,7.265999738592652e-05,B_PERIODIC,UCB1,48
0.0,0.4289940828402367,338,0,1.0,0.0,0.0,0.0,2.8786135833658234e-05,4.984999977750699e-05,B_PERIODIC,UCB1,49
0.0,0.4264705882352941,340,0,1.0,0.0,0.0,0.0,2.7099413678795645e-05,4.92000108351931e-05,B_PERIODIC,UCB1,50
0.0,0.4332344213649852,337,0,1.0,0.0,0.0,0.0,2.827751450240612e-05,5.284499493427574e-05,B_PERIODIC,UCB1,51
0.0,0.33653846153846156,416,0,1.0,0.0,0.0,0.0,0.0002864561148997892,0.0001477000012528151,B_PERIODIC,UCBTuned,42
0.0,0.34688995215311,418,0,1.0,0.0,0.0,0.0,8.954653923587566e-05,0.00016882998897926874,B_PERIODIC,UCBTuned,43
0.0,0.29024390243902437,410,0,1.0,0.0,0.0,0.0,6.713649615477726e-05,0.00013775000115856528,B_PERIODIC,UCBTuned,44
0.0,0.3052109181141439,403,0,1.0,0.0,0.0,0.0,5.8547524711702683e-05,8.609500291640867e-05,B_PERIODIC,UCBTuned,45
0.0,0.39952153110047844,418,0,1.0,0.0,0.0,0.0,0.00012152315038095199,0.00022256000520428512,B_PERIODIC,UCBTuned,46
0.0,0.29683698296836986,411,0,1.0,0.0,0.0,0.0,0.00013590194169065724,0.00014833999448455869,B_PERIODIC,UCBTuned,47
0.0,0.35545023696682465,422,0,1.0,0.0,0.0,0.0,9.124491729935407e-05,0.00011928999592782921,B_PERIODIC,UCBTuned,48
0.0,0.3515439429928741,421,0,1.0,0.0,0.0,0.0,6.287085252810684e-05,0.00010877499953494407,B_PERIODIC,UCBTuned,49
0.0,0.2607594936708861,395,0,1.0,0.0,0.0,0.0,5.3474747424714754e-05,9.997500092140399e-05,B_PERIODIC,UCBTuned,50
0.0,0.4131455399061033,426,0,1.0,0.0,0.0,0.0,9.432669778205062e-05,0.00015546999493381007,B_PERIODIC,UCBTuned,51
0.0,0.442,500,0,1.0,0.0,0.0,0.0,2.955508987910064e-05,4.400000034365803e-05,B_PERIODIC,BayesianUCB,42
0.0,0.432,500,0,1.0,0.0,0.0,0.0,1.988183694102517e-05,3.090000245720148e-05,B_PERIODIC,BayesianUCB,43
0.0,0.428,500,0,1.0,0.0,0.0,0.0,2.24437128286344e-05,2.720000338740647e-05,B_PERIODIC,BayesianUCB,44
0.0,0.424,500,0,1.0,0.0,0.0,0.0,2.4355289184938216e-05,6.310000026132911e-05,B_PERIODIC,BayesianUCB,45
0.0,0.442,500,0,1.0,0.0,0.0,0.0,3.161177592990574e-05,7.019999611657113e-05,B_PERIODIC,BayesianUCB,46
0.0,0.434,500,0,1.0,0.0,0.0,0.0,2.458303342591934e-05,4.1099992813542485e-05,B_PERIODIC,BayesianUCB,47
0.0,0.442,500,0,1.0,0.0,0.0,0.0,1.6237724487141832e-05,2.2599997464567423e-05,B_PERIODIC,BayesianUCB,48
0.0,0.434,500,0,1.0,0.0,0.0,0.0,1.1202594514670382e-05,1.8699996871873736e-05,B_PERIODIC,BayesianUCB,49
0.0,0.428,500,0,1.0,0.0,0.0,0.0,1.0103193601312676e-05,1.930000144056976e-05,B_PERIODIC,BayesianUCB,50
0.0,0.426,500,0,1.0,0.0,0.0,0.0,1.0779241425033563e-05,1.7699989257380366e-05,B_PERIODIC,BayesianUCB,51
0.0,0.09541984732824428,262,11,0.026717557251908396,0.9732824427480916,0.0,0.0,4.8519011800258844e-05,8.491000626236198e-05,B_PERIODIC,ThompsonSampling,42
0.0,0.0916030534351145,262,13,0.026717557251908396,0.9732824427480916,0.0,0.0,5.306654008629488e-05,8.302999631268893e-05,B_PERIODIC,ThompsonSampling,43
0.0,0.06716417910447761,268,9,0.022388059701492536,0.9776119402985075,0.0,0.0,4.304460922583287e-05,7.078000053297728e-05,B_PERIODIC,ThompsonSampling,44
0.0,0.06319702602230483,269,7,0.01486988847583643,0.9851301115241635,0.0,0.0,4.294703712393702e-05,8.118500700220465e-05,B_PERIODIC,ThompsonSampling,45
0.0,0.11363636363636363,264,17,0.03409090909090909,0.9659090909090909,0.0,0.0,6.836150956278631e-05,0.000135840001166798,B_PERIODIC,ThompsonSampling,46
0.0,0.08239700374531835,267,9,0.018726591760299626,0.9812734082397003,0.0,0.0,4.907574578676609e-05,8.254000349552354e-05,B_PERIODIC,ThompsonSampling,47
0.0,0.0749063670411985,267,11,0.026217228464419477,0.9737827715355806,0.0,0.0,5.0780970977667944e-05,6.767000668332899e-05,B_PERIODIC,ThompsonSampling,48
0.0,0.09398496240601503,266,9,0.022556390977443608,0.9774436090225563,0.0,0.0,5.8438576753983756e-05,8.388999849557876e-05,B_PERIODIC,ThompsonSampling,49
0.0,0.08679245283018867,265,9,0.022641509433962263,0.9773584905660377,0.0,0.0,5.349135302056215e-05,8.719999823370017e-05,B_PERIODIC,ThompsonSampling,50
0.0,0.08365019011406843,263,17,0.034220532319391636,0.9657794676806084,0.0,0.0,6.873787898450357e-05,8.599000211688689e-05,B_PERIODIC,ThompsonSampling,51
0.0,0.15648854961832062,262,0,1.0,0.0,0.0,0.0,3.60418228829145e-06,5.389997386373578e-06,C_LOW_SNR,Random,42
0.0,0.18181818181818182,264,0,1.0,0.0,0.0,0.0,3.893961602786802e-06,7.259999983943987e-06,C_LOW_SNR,Random,43
0.0,0.10227272727272728,264,0,1.0,0.0,0.0,0.0,2.588678858647088e-06,3.940000897273416e-06,C_LOW_SNR,Random,44
0.0,0.13076923076923078,260,0,1.0,0.0,0.0,0.0,6.398467870671802e-06,1.030000566970557e-05,C_LOW_SNR,Random,45
0.0,0.19101123595505617,267,0,1.0,0.0,0.0,0.0,2.8865675875437514e-06,4.365004133433102e-06,C_LOW_SNR,Random,46
0.0,0.10646387832699619,263,0,1.0,0.0,0.0,0.0,3.25378774009137e-06,6.469993240898474e-06,C_LOW_SNR,Random,47
0.0,0.149812734082397,267,0,1.0,0.0,0.0,0.0,5.791791164795798e-06,5.529998452402647e-06,C_LOW_SNR,Random,48
0.0,0.125,264,0,1.0,0.0,0.0,0.0,3.3641506957311956e-06,6.279992521740494e-06,C_LOW_SNR,Random,49
0.0,0.10384615384615385,260,0,1.0,0.0,0.0,0.0,2.892720533117395e-06,5.900001269765198e-06,C_LOW_SNR,Random,50
0.0,0.1660377358490566,265,0,1.0,0.0,0.0,0.0,3.362406070144581e-06,7.074999302858487e-06,C_LOW_SNR,Random,51
