modulation,snr,detector,pd,pfa
cw,2.1428571428571423,cnn,1.0,1.0
cw,2.1428571428571423,fft_peak,1.0,0.566
cw,2.1428571428571423,iq_energy,1.0,0.012
cw,2.1428571428571423,probabilistic,1.0,0.012
cw,4.285714285714285,cnn,1.0,1.0
cw,4.285714285714285,fft_peak,1.0,0.572
cw,4.285714285714285,iq_energy,1.0,0.006
cw,4.285714285714285,probabilistic,1.0,0.01
cw,6.428571428571427,cnn,1.0,1.0
cw,6.428571428571427,fft_peak,1.0,0.594
cw,6.428571428571427,iq_energy,1.0,0.012
cw,6.428571428571427,probabilistic,1.0,0.008
cw,8.57142857142857,cnn,1.0,1.0
cw,8.57142857142857,fft_peak,1.0,0.588
cw,8.57142857142857,iq_energy,1.0,0.01
cw,8.57142857142857,probabilistic,1.0,0.016
cw,10.714285714285715,cnn,1.0,1.0
cw,10.714285714285715,fft_peak,1.0,0.612
cw,10.714285714285715,iq_energy,1.0,0.012
cw,10.714285714285715,probabilistic,1.0,0.01
cw,12.857142857142858,cnn,1.0,1.0
cw,12.857142857142858,fft_peak,1.0,0.576
cw,12.857142857142858,iq_energy,1.0,0.016
cw,12.857142857142858,probabilistic,1.0,0.01
cw,15.0,cnn,1.0,1.0
cw,15.0,fft_peak,1.0,0.616
cw,15.0,iq_energy,1.0,0.014
cw,15.0,probabilistic,1.0,0.004
fmcw,-15.0,cnn,1.0,1.0
fmcw,-15.0,fft_peak,0.642,0.576
fmcw,-15.0,iq_energy,0.09,0.01
fmcw,-15.0,probabilistic,0.016,0.01
fmcw,-12.857142857142858,cnn,1.0,1.0
fmcw,-12.857142857142858,fft_peak,0.712,0.586
fmcw,-12.857142857142858,iq_energy,0.224,0.002
fmcw,-12.857142857142858,probabilistic,0.022,0.01
fmcw,-10.714285714285715,cnn,1.0,1.0
fmcw,-10.714285714285715,fft_peak,0.83,0.596
fmcw,-10.714285714285715,iq_energy,0.66,0.014
fmcw,-10.714285714285715,probabilistic,0.064,0.004
fmcw,-8.571428571428571,cnn,1.0,1.0
fmcw,-8.571428571428571,fft_peak,0.976,0.564
fmcw,-8.571428571428571,iq_energy,0.97,0.006
fmcw,-8.571428571428571,probabilistic,0.126,0.01
fmcw,-6.428571428571429,cnn,1.0,1.0
fmcw,-6.428571428571429,fft_peak,1.0,0.592
fmcw,-6.428571428571429,iq_energy,1.0,0.01
fmcw,-6.428571428571429,probabilistic,0.298,0.008
fmcw,-4.2857142857142865,cnn,1.0,1.0
fmcw,-4.2857142857142865,fft_peak,1.0,0.568
fmcw,-4.2857142857142865,iq_energy,1.0,0.006
fmcw,-4.2857142857142865,probabilistic,0.598,0.012
fmcw,-2.1428571428571423,cnn,1.0,1.0
fmcw,-2.1428571428571423,fft_peak,1.0,0.6
fmcw,-2.1428571428571423,iq_energy,1.0,0.004
fmcw,-2.1428571428571423,probabilistic,0.918,0.006
fmcw,0.0,cnn,1.0,1.0
fmcw,0.0,fft_peak,1.0,0.608
fmcw,0.0,iq_energy,1.0,0.008
fmcw,0.0,probabilistic,0.996,0.016
fmcw,2.1428571428571423,cnn,1.0,1.0
fmcw,2.1428571428571423,fft_peak,1.0,0.548
fmcw,2.1428571428571423,iq_energy,1.0,0.006
fmcw,2.1428571428571423,probabilistic,1.0,0.006
fmcw,4.285714285714285,cnn,1.0,1.0
fmcw,4.285714285714285,fft_peak,1.0,0.584
fmcw,4.285714285714285,iq_energy,1.0,0.018
fmcw,4.285714285714285,probabilistic,1.0,0.004
fmcw,6.428571428571427,cnn,1.0,1.0
fmcw,6.428571428571427,fft_peak,1.0,0.564
fmcw,6.428571428571427,iq_energy,1.0,0.006
fmcw,6.428571428571427,probabilistic,1.0,0.004
fmcw,8.57142857142857,cnn,1.0,1.0
fmcw,8.57142857142857,fft_peak,1.0,0.568
fmcw,8.57142857142857,iq_energy,1.0,0.018
fmcw,8.57142857142857,probabilistic,1.0,0.006
fmcw,10.714285714285715,cnn,1.0,1.0
fmcw,10.714285714285715,fft_peak,1.0,0.61
fmcw,10.714285714285715,iq_energy,1.0,0.012
fmcw,10.714285714285715,probabilistic,1.0,0.008
fmcw,12.857142857142858,cnn,1.0,1.0
fmcw,12.857142857142858,fft_peak,1.0,0.618
fmcw,12.857142857142858,iq_energy,1.0,0.018
fmcw,12.857142857142858,probabilistic,1.0,0.014
fmcw,15.0,cnn,1.0,1.0
fmcw,15.0,fft_peak,1.0,0.56
fmcw,15.0,iq_energy,1.0,0.002
fmcw,15.0,probabilistic,1.0,0.004
qpsk,-15.0,cnn,1.0,1.0
qpsk,-15.0,fft_peak,0.854,0.584
qpsk,-15.0,iq_energy,0.09,0.008
qpsk,-15.0,probabilistic,0.014,0.012
qpsk,-12.857142857142858,cnn,1.0,1.0
qpsk,-12.857142857142858,fft_peak,0.978,0.584
qpsk,-12.857142857142858,iq_energy,0.246,0.008
qpsk,-12.857142857142858,probabilistic,0.026,0.008
qpsk,-10.714285714285715,cnn,1.0,1.0
qpsk,-10.714285714285715,fft_peak,1.0,0.576
qpsk,-10.714285714285715,iq_energy,0.628,0.008
qpsk,-10.714285714285715,probabilistic,0.062,0.008
qpsk,-8.571428571428571,cnn,1.0,1.0
qpsk,-8.571428571428571,fft_peak,1.0,0.548
qpsk,-8.571428571428571,iq_energy,0.962,0.01
qpsk,-8.571428571428571,probabilistic,0.122,0.006
qpsk,-6.428571428571429,cnn,1.0,1.0
qpsk,-6.428571428571429,fft_peak,1.0,0.586
qpsk,-6.428571428571429,iq_energy,1.0,0.014
qpsk,-6.428571428571429,probabilistic,0.284,0.012
qpsk,-4.2857142857142865,cnn,1.0,1.0
qpsk,-4.2857142857142865,fft_peak,1.0,0.604
qpsk,-4.2857142857142865,iq_energy,1.0,0.008
qpsk,-4.2857142857142865,probabilistic,0.57,0.02
qpsk,-2.1428571428571423,cnn,1.0,1.0
qpsk,-2.1428571428571423,fft_peak,1.0,0.6
qpsk,-2.1428571428571423,iq_energy,1.0,0.012
qpsk,-2.1428571428571423,probabilistic,0.892,0.01
qpsk,0.0,cnn,1.0,1.0
qpsk,0.0,fft_peak,1.0,0.538
qpsk,0.0,iq_energy,1.0,0.008
qpsk,0.0,probabilistic,0.994,0.012
qpsk,2.1428571428571423,cnn,1.0,1.0
qpsk,2.1428571428571423,fft_peak,1.0,0.614
