modulation,snr,detector,pd,pfa
fmcw,15.0,cnn,1.0,1.0
fmcw,15.0,fft_peak,1.0,0.546
fmcw,15.0,iq_energy,1.0,0.01
fmcw,15.0,probabilistic,1.0,0.006
qpsk,-15.0,cnn,1.0,1.0
qpsk,-15.0,fft_peak,0.89,0.588
qpsk,-15.0,iq_energy,0.092,0.014
qpsk,-15.0,probabilistic,0.014,0.016
qpsk,-12.857142857142858,cnn,1.0,1.0
qpsk,-12.857142857142858,fft_peak,0.978,0.608
qpsk,-12.857142857142858,iq_energy,0.28,0.008
qpsk,-12.857142857142858,probabilistic,0.022,0.016
qpsk,-10.714285714285715,cnn,1.0,1.0
qpsk,-10.714285714285715,fft_peak,1.0,0.598
qpsk,-10.714285714285715,iq_energy,0.61,0.012
qpsk,-10.714285714285715,probabilistic,0.06,0.012
qpsk,-8.571428571428571,cnn,1.0,1.0
qpsk,-8.571428571428571,fft_peak,1.0,0.558
qpsk,-8.571428571428571,iq_energy,0.99,0.002
qpsk,-8.571428571428571,probabilistic,0.12,0.012
qpsk,-6.428571428571429,cnn,1.0,1.0
qpsk,-6.428571428571429,fft_peak,1.0,0.566
qpsk,-6.428571428571429,iq_energy,1.0,0.014
qpsk,-6.428571428571429,probabilistic,0.294,0.012
qpsk,-4.2857142857142865,cnn,1.0,1.0
qpsk,-4.2857142857142865,fft_peak,1.0,0.596
qpsk,-4.2857142857142865,iq_energy,1.0,0.012
qpsk,-4.2857142857142865,probabilistic,0.614,0.012
qpsk,-2.1428571428571423,cnn,1.0,1.0
qpsk,-2.1428571428571423,fft_peak,1.0,0.604
qpsk,-2.1428571428571423,iq_energy,1.0,0.006
qpsk,-2.1428571428571423,probabilistic,0.898,0.01
qpsk,0.0,cnn,1.0,1.0
qpsk,0.0,fft_peak,1.0,0.588
qpsk,0.0,iq_energy,1.0,0.01
qpsk,0.0,probabilistic,0.994,0.01
qpsk,2.1428571428571423,cnn,1.0,1.0
qpsk,2.1428571428571423,fft_peak,1.0,0.614
qpsk,2.1428571428571423,iq_energy,1.0,0.006
qpsk,2.1428571428571423,probabilistic,1.0,0.01
qpsk,4.285714285714285,cnn,1.0,1.0
qpsk,4.285714285714285,fft_peak,1.0,0.594
qpsk,4.285714285714285,iq_energy,1.0,0.01
qpsk,4.285714285714285,probabilistic,1.0,0.01
qpsk,6.428571428571427,cnn,1.0,1.0
qpsk,6.428571428571427,fft_peak,1.0,0.618
qpsk,6.428571428571427,iq_energy,1.0,0.01
qpsk,6.428571428571427,probabilistic,1.0,0.008
qpsk,8.57142857142857,cnn,1.0,1.0
qpsk,8.57142857142857,fft_peak,1.0,0.606
qpsk,8.57142857142857,iq_energy,1.0,0.014
qpsk,8.57142857142857,probabilistic,1.0,0.008
qpsk,10.714285714285715,cnn,1.0,1.0
qpsk,10.714285714285715,fft_peak,1.0,0.608
qpsk,10.714285714285715,iq_energy,1.0,0.004
qpsk,10.714285714285715,probabilistic,1.0,0.008
qpsk,12.857142857142858,cnn,1.0,1.0
qpsk,12.857142857142858,fft_peak,1.0,0.566
qpsk,12.857142857142858,iq_energy,1.0,0.01
qpsk,12.857142857142858,probabilistic,1.0,0.008
qpsk,15.0,cnn,1.0,1.0
qpsk,15.0,fft_peak,1.0,0.626
qpsk,15.0,iq_energy,1.0,0.002
qpsk,15.0,probabilistic,1.0,0.016
